dataset,defense,variant,auc_noattack,auc_attack,delta_auc_pp
cifar,FedAvg,NoAdaptiveNorm,66.8059,41.0719,25.734
cifar,FedAvg,NoHistoryAttack,66.8059,54.1989,12.607
cifar,FedAvg,NoHistoryBenign,66.8059,52.4437,14.3622
cifar,FedAvg,NoNoise,66.8059,38.6011,28.2048
cifar,Multi-Krum,NoAdaptiveNorm,62.8108,22.9263,39.8845
cifar,Multi-Krum,NoHistoryAttack,62.8108,29.9405,32.8703
cifar,Multi-Krum,NoHistoryBenign,62.8108,35.1249,27.6859
cifar,Multi-Krum,NoNoise,62.8108,23.9792,38.8316
cifar,RFA,NoAdaptiveNorm,66.5713,12.3981,54.1732
cifar,RFA,NoHistoryAttack,66.5713,13.6584,52.9129
cifar,RFA,NoHistoryBenign,66.5713,13.207,53.3643
cifar,RFA,NoNoise,66.5713,13.4826,53.0887
cifar,RoFL,NoAdaptiveNorm,66.5896,39.0779,27.5117
cifar,RoFL,NoHistoryAttack,66.5896,52.545,14.0446
cifar,RoFL,NoHistoryBenign,66.5896,53.5562,13.0334
cifar,RoFL,NoNoise,66.5896,41.6751,24.9145
cifar,Trimmed-mean,NoAdaptiveNorm,65.3498,34.3741,30.9757
cifar,Trimmed-mean,NoHistoryAttack,65.3498,45.8046,19.5452
cifar,Trimmed-mean,NoHistoryBenign,65.3498,45.6508,19.699
cifar,Trimmed-mean,NoNoise,65.3498,28.7717,36.5781
f-mnist,FedAvg,NoAdaptiveNorm,88.0175,57.7037,30.3138
f-mnist,FedAvg,NoHistoryAttack,88.0175,71.817,16.2005
f-mnist,FedAvg,NoHistoryBenign,88.0175,82.1807,5.8368
f-mnist,FedAvg,NoNoise,88.0175,57.2431,30.7744
f-mnist,Multi-Krum,NoAdaptiveNorm,87.7072,41.515,46.1922
f-mnist,Multi-Krum,NoHistoryAttack,87.7072,48.2297,39.4775
f-mnist,Multi-Krum,NoHistoryBenign,87.7072,65.7657,21.9415
f-mnist,Multi-Krum,NoNoise,87.7072,41.3023,46.4049
f-mnist,RFA,NoAdaptiveNorm,87.9561,25.7368,62.2193
f-mnist,RFA,NoHistoryAttack,87.9561,24.3376,63.6185
f-mnist,RFA,NoHistoryBenign,87.9561,26.6024,61.3537
f-mnist,RFA,NoNoise,87.9561,26.6687,61.2874
f-mnist,RoFL,NoAdaptiveNorm,88.2641,52.2994,35.9647
f-mnist,RoFL,NoHistoryAttack,88.2641,81.8872,6.3769
f-mnist,RoFL,NoHistoryBenign,88.2641,85.9017,2.3624
f-mnist,RoFL,NoNoise,88.2641,48.918,39.3461
f-mnist,Trimmed-mean,NoAdaptiveNorm,87.627,77.7481,9.8789
f-mnist,Trimmed-mean,NoHistoryAttack,87.627,83.5837,4.0433
f-mnist,Trimmed-mean,NoHistoryBenign,87.627,82.8226,4.8044
f-mnist,Trimmed-mean,NoNoise,87.627,71.2916,16.3354
